,month,month_full,year,no_of_rainy_days,total_rainfall,mean_relative_humidity,mean_sunshine_hrs,mean_surface_temp,wet_bulb_temperature
225,2000-10-01,Oct,2000,14,120.9,82.1,4.0,27.8,25.331989247311828
226,2000-11-01,Nov,2000,21,385.7,87.1,3.7,27.3,25.583194444444448
227,2000-12-01,Dec,2000,18,236.0,87.6,4.2,27.0,25.335887096774197
228,2001-01-01,Jan,2001,21,425.8,87.4,4.4,26.5,24.856854838709676
229,2001-02-01,Feb,2001,11,86.6,83.6,4.8,27.0,24.788095238095234
230,2001-03-01,Mar,2001,20,297.3,84.5,5.4,27.5,25.350806451612904
231,2001-04-01,Apr,2001,18,203.3,86.0,5.3,27.7,25.86472222222222
232,2001-05-01,May,2001,12,164.9,85.0,6.0,28.5,26.47056451612903
233,2001-06-01,Jun,2001,11,137.1,82.5,4.9,28.2,25.77097222222222
234,2001-07-01,Jul,2001,9,111.3,80.8,8.1,28.4,25.7880376344086
235,2001-08-01,Aug,2001,14,158.3,83.7,4.9,28.0,25.804973118279573
236,2001-09-01,Sep,2001,13,162.0,82.3,6.2,28.0,25.575833333333332
237,2001-10-01,Oct,2001,20,252.2,83.7,4.4,27.6,25.423387096774192
238,2001-11-01,Nov,2001,15,175.3,84.9,3.7,27.2,25.157083333333333
239,2001-12-01,Dec,2001,20,609.0,86.8,4.5,26.7,24.94233870967742
240,2002-01-01,Jan,2002,11,221.2,83.6,6.9,27.0,24.83279569892473
241,2002-02-01,Feb,2002,2,50.8,80.9,7.4,27.3,24.705357142857142
242,2002-03-01,Mar,2002,8,55.6,80.8,7.6,28.2,25.528494623655916
243,2002-04-01,Apr,2002,13,116.5,82.3,6.6,28.6,26.13722222222222
244,2002-05-01,May,2002,13,236.6,82.3,6.2,28.9,26.417473118279567
245,2002-06-01,Jun,2002,12,83.1,82.1,6.3,28.7,26.222638888888888
246,2002-07-01,Jul,2002,11,233.7,82.7,6.8,28.4,26.05510752688172
247,2002-08-01,Aug,2002,14,54.2,79.2,6.7,28.5,25.624193548387098
248,2002-09-01,Sep,2002,9,124.2,81.7,5.5,28.1,25.545555555555556
249,2002-10-01,Oct,2002,7,10.8,79.8,6.2,28.7,25.838306451612905
250,2002-11-01,Nov,2002,15,307.2,85.8,4.6,27.4,25.49833333333333
251,2002-12-01,Dec,2002,24,255.0,88.7,4.8,27.2,25.680779569892472
252,2003-01-01,Jan,2003,20,444.2,86.9,4.7,26.7,24.92970430107527
253,2003-02-01,Feb,2003,13,172.9,85.0,5.8,27.1,25.087648809523813
254,2003-03-01,Mar,2003,11,154.6,83.8,6.9,28.1,25.84704301075269
255,2003-04-01,Apr,2003,20,159.9,86.7,5.1,27.9,26.094305555555557
256,2003-05-01,May,2003,11,81.8,81.7,5.8,29.2,26.612903225806452
257,2003-06-01,Jun,2003,12,50.3,78.5,7.0,28.9,25.94916666666667
258,2003-07-01,Jul,2003,14,170.4,81.7,5.6,28.1,25.634543010752687
259,2003-08-01,Aug,2003,13,193.6,83.1,6.1,28.2,25.924865591397847
260,2003-09-01,Sep,2003,15,205.3,84.8,5.0,27.6,25.566666666666666
261,2003-10-01,Oct,2003,21,351.4,84.9,5.1,27.6,25.548521505376343
262,2003-11-01,Nov,2003,19,133.8,87.3,4.2,27.1,25.443055555555556
263,2003-12-01,Dec,2003,17,273.0,87.2,3.9,26.5,24.87150537634409
264,2004-01-01,Jan,2004,13,600.9,86.7,6.7,26.9,25.08225806451613
265,2004-02-01,Feb,2004,4,31.9,80.5,7.7,27.6,24.958189655172415
266,2004-03-01,Mar,2004,16,269.4,85.8,4.8,27.7,25.739919354838708
267,2004-04-01,Apr,2004,9,57.1,82.3,7.0,28.9,26.369027777777777
268,2004-05-01,May,2004,13,137.6,82.1,6.0,28.9,26.447580645161292
269,2004-06-01,Jun,2004,8,127.2,79.8,6.3,29.0,26.183611111111112
270,2004-07-01,Jul,2004,20,166.6,85.3,4.2,27.3,25.38817204301075
271,2004-08-01,Aug,2004,8,185.2,80.3,7.3,28.3,25.537365591397847
272,2004-09-01,Sep,2004,14,128.9,83.6,5.9,27.8,25.570277777777775
273,2004-10-01,Oct,2004,13,125.6,83.9,5.0,27.8,25.57338709677419
274,2004-11-01,Nov,2004,15,166.2,86.1,5.8,27.3,25.41375
275,2004-12-01,Dec,2004,14,139.8,85.2,4.9,26.8,24.87244623655914
276,2005-01-01,Jan,2005,8,163.2,83.3,6.5,26.6,24.395967741935483
277,2005-02-01,Feb,2005,3,8.4,77.7,9.1,28.5,25.330357142857142
